Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
Twitter-RoBERTa-Irony,Completeness,0.2,20,45,0.5635714285714286,0.49709539372539197,0.5121428571428571,0.4646469340371343,0.03244845968825766,0.19891099011001223,0.895
Twitter-RoBERTa-Irony,Completeness,0.2,20,46,0.5635714285714286,0.49709539372539197,0.5235714285714286,0.4752089919213207,0.021886401804071254,0.1994666074008223,0.8892857142857142
Twitter-RoBERTa-Irony,Completeness,0.3,30,42,0.5635714285714286,0.49709539372539197,0.49785714285714283,0.45723596228115315,0.03985943144423881,0.30258917657517503,0.975
Twitter-RoBERTa-Irony,Completeness,0.3,30,43,0.5635714285714286,0.49709539372539197,0.49714285714285716,0.4514643941620139,0.04563099956337807,0.30036670741193466,0.975
Twitter-RoBERTa-Irony,Completeness,0.3,30,44,0.5635714285714286,0.49709539372539197,0.495,0.4518016937765812,0.04529369994881077,0.2994777197466385,0.9664285714285714
Twitter-RoBERTa-Irony,Completeness,0.3,30,45,0.5635714285714286,0.49709539372539197,0.4942857142857143,0.44884219048529916,0.0482532032400928,0.3001444604956106,0.9721428571428572
Twitter-RoBERTa-Irony,Completeness,0.3,30,46,0.5635714285714286,0.49709539372539197,0.5014285714285714,0.45613941352995124,0.04095598019544072,0.2994777197466385,0.97
Twitter-RoBERTa-Irony,Consistency,0.1,10,42,0.5635714285714286,0.49709539372539197,0.5821428571428572,0.5055539154515307,-0.008458521726138757,0.1001730852444829,0.5942857142857143
Twitter-RoBERTa-Irony,Consistency,0.1,10,43,0.5635714285714286,0.49709539372539197,0.5871428571428572,0.5064782355194176,-0.009382841794025654,0.09941583729987019,0.5964285714285714
Twitter-RoBERTa-Irony,Consistency,0.1,10,44,0.5635714285714286,0.49709539372539197,0.5828571428571429,0.5067269984917043,-0.009631604766312363,0.09714409346603202,0.5814285714285714
Twitter-RoBERTa-Irony,Consistency,0.1,10,45,0.5635714285714286,0.49709539372539197,0.5785714285714286,0.501659125188537,-0.004563731463144982,0.09974037213327563,0.59
Twitter-RoBERTa-Irony,Consistency,0.1,10,46,0.5635714285714286,0.49709539372539197,0.5792857142857143,0.4960393927781944,0.001056000947197544,0.1020121159671138,0.61
Twitter-RoBERTa-Irony,Consistency,0.2,20,42,0.5635714285714286,0.49709539372539197,0.5957142857142858,0.5017405126966881,-0.004645118971296103,0.19699264387710946,0.84
Twitter-RoBERTa-Irony,Consistency,0.2,20,43,0.5635714285714286,0.49709539372539197,0.6014285714285714,0.5146427293331742,-0.017547335607782266,0.20012981393336218,0.855
Twitter-RoBERTa-Irony,Consistency,0.2,20,44,0.5635714285714286,0.49709539372539197,0.61,0.52225,-0.025154606274608027,0.20099524015577672,0.8571428571428571
Twitter-RoBERTa-Irony,Consistency,0.2,20,45,0.5635714285714286,0.49709539372539197,0.5964285714285714,0.5059951948508586,-0.008899801125466678,0.20142795326698398,0.8614285714285714
Twitter-RoBERTa-Irony,Consistency,0.2,20,46,0.5635714285714286,0.49709539372539197,0.5957142857142858,0.5054905279344182,-0.008395134209026212,0.19991345737775854,0.8464285714285714
Twitter-RoBERTa-Irony,Consistency,0.3,30,42,0.5635714285714286,0.49709539372539197,0.6092857142857143,0.5088856552669737,-0.011790261541581748,0.29792297706620513,0.915
Twitter-RoBERTa-Irony,Consistency,0.3,30,43,0.5635714285714286,0.49709539372539197,0.6135714285714285,0.5118835790134428,-0.01478818528805087,0.3006274340112505,0.9292857142857143
Twitter-RoBERTa-Irony,Consistency,0.3,30,44,0.5635714285714286,0.49709539372539197,0.6114285714285714,0.5071392331666305,-0.010043839441238489,0.2996538295110342,0.9214285714285714
Twitter-RoBERTa-Irony,Consistency,0.3,30,45,0.5635714285714286,0.49709539372539197,0.6142857142857143,0.5139838920375647,-0.016888498312172706,0.29987018606663784,0.92
Twitter-RoBERTa-Irony,Consistency,0.3,30,46,0.5635714285714286,0.49709539372539197,0.6221428571428571,0.5211279809071928,-0.024032587181800846,0.30149286023366506,0.9307142857142857
Twitter-RoBERTa-Irony,Validity,0.1,10,42,0.5635714285714286,0.49709539372539197,0.6921428571428572,0.49918619832193345,-0.0020908045965414845,0.10112234692743638,0.6085714285714285
Twitter-RoBERTa-Irony,Validity,0.1,10,43,0.5635714285714286,0.49709539372539197,0.7078571428571429,0.5274700336283551,-0.03037463990296313,0.10056672963662629,0.5992857142857143
Twitter-RoBERTa-Irony,Validity,0.1,10,44,0.5635714285714286,0.49709539372539197,0.7007142857142857,0.5030123416624941,-0.005916947937102124,0.10190021113457051,0.6064285714285714
Twitter-RoBERTa-Irony,Validity,0.1,10,45,0.5635714285714286,0.49709539372539197,0.7121428571428572,0.5344020135751274,-0.037306619849735434,0.09889987776419602,0.5907142857142857
Twitter-RoBERTa-Irony,Validity,0.1,10,46,0.5635714285714286,0.49709539372539197,0.7078571428571429,0.5314695213804875,-0.034374127655095565,0.09778864318257584,0.5871428571428572
Twitter-RoBERTa-Irony,Validity,0.2,20,42,0.5635714285714286,0.49709539372539197,0.8042857142857143,0.5058331272157639,-0.008737733490371935,0.19913323702633626,0.8992857142857142
Twitter-RoBERTa-Irony,Validity,0.2,20,43,0.5635714285714286,0.49709539372539197,0.7971428571428572,0.49065082935777937,0.006444564367612593,0.1987998666518502,0.8842857142857142
Twitter-RoBERTa-Irony,Validity,0.2,20,44,0.5635714285714286,0.49709539372539197,0.8021428571428572,0.4874377305571967,0.009657663168195274,0.20235581731303479,0.9007142857142857
Twitter-RoBERTa-Irony,Validity,0.2,20,45,0.5635714285714286,0.49709539372539197,0.8078571428571428,0.48419367253831225,0.012901721187079718,0.20180020002222468,0.9114285714285715
Twitter-RoBERTa-Irony,Validity,0.2,20,46,0.5635714285714286,0.49709539372539197,0.8142857142857143,0.4968595187544232,0.00023587497096877463,0.19957773085898434,0.9042857142857142
Twitter-RoBERTa-Irony,Validity,0.3,30,42,0.5635714285714286,0.49709539372539197,0.8442857142857143,0.4836745051598714,0.013420888565520539,0.3008112012445827,0.9757142857142858
Twitter-RoBERTa-Irony,Validity,0.3,30,43,0.5635714285714286,0.49709539372539197,0.8364285714285714,0.48015222491929066,0.016943168806101305,0.3014779419935548,0.9707142857142858
Twitter-RoBERTa-Irony,Validity,0.3,30,44,0.5635714285714286,0.49709539372539197,0.8442857142857143,0.4877269309270598,0.009368462798332144,0.3014779419935548,0.9792857142857143
Twitter-RoBERTa-Irony,Validity,0.3,30,45,0.5635714285714286,0.49709539372539197,0.8371428571428572,0.46839338889221976,0.0287020048331722,0.2999222135792866,0.9728571428571429
Twitter-RoBERTa-Irony,Validity,0.3,30,46,0.5635714285714286,0.49709539372539197,0.835,0.47163683119335903,0.025458562532032936,0.2994777197466385,0.9735714285714285
Twitter-RoBERTa-Irony,Understandability,0.1,10,42,0.5635714285714286,0.49709539372539197,0.5628571428571428,0.49475293135291576,0.002342462372476206,0.09712190243360373,0.30857142857142855
Twitter-RoBERTa-Irony,Understandability,0.1,10,43,0.5635714285714286,0.49709539372539197,0.5664285714285714,0.49857650720597135,-0.001481113480579388,0.09034337148572064,0.28714285714285714
Twitter-RoBERTa-Irony,Understandability,0.1,10,44,0.5635714285714286,0.49709539372539197,0.565,0.4975339323715797,-0.0004385386461877583,0.10356706300700078,0.33
Twitter-RoBERTa-Irony,Understandability,0.1,10,45,0.5635714285714286,0.49709539372539197,0.5657142857142857,0.5004589298834952,-0.0033635361581031975,0.09845538393154794,0.3142857142857143
