Dimension,Severity,Seed,Eligible_Units,Changed_Units,Realized_Rate,Changed_Instances,Changed_Instance_Rate
Consistency,0.3,43,9244,2779,0.3006274340112505,1301,0.9292857142857143
Consistency,0.3,44,9244,2770,0.2996538295110342,1290,0.9214285714285714
Consistency,0.3,45,9244,2772,0.29987018606663784,1288,0.92
Consistency,0.3,46,9244,2787,0.30149286023366506,1303,0.9307142857142857
Validity,0.1,42,8999,910,0.10112234692743638,852,0.6085714285714285
Validity,0.1,43,8999,905,0.10056672963662629,839,0.5992857142857143
Validity,0.1,44,8999,917,0.10190021113457051,849,0.6064285714285714
Validity,0.1,45,8999,890,0.09889987776419602,827,0.5907142857142857
Validity,0.1,46,8999,880,0.09778864318257584,822,0.5871428571428572
Validity,0.2,42,8999,1792,0.19913323702633626,1259,0.8992857142857142
Validity,0.2,43,8999,1789,0.1987998666518502,1238,0.8842857142857142
Validity,0.2,44,8999,1821,0.20235581731303479,1261,0.9007142857142857
Validity,0.2,45,8999,1816,0.20180020002222468,1276,0.9114285714285715
Validity,0.2,46,8999,1796,0.19957773085898434,1266,0.9042857142857142
Validity,0.3,42,8999,2707,0.3008112012445827,1366,0.9757142857142858
Validity,0.3,43,8999,2713,0.3014779419935548,1359,0.9707142857142858
Validity,0.3,44,8999,2713,0.3014779419935548,1371,0.9792857142857143
Validity,0.3,45,8999,2699,0.2999222135792866,1362,0.9728571428571429
Validity,0.3,46,8999,2695,0.2994777197466385,1363,0.9735714285714285
Understandability,0.1,42,8999,874,0.09712190243360373,432,0.30857142857142855
Understandability,0.1,43,8999,813,0.09034337148572064,402,0.28714285714285714
Understandability,0.1,44,8999,932,0.10356706300700078,462,0.33
Understandability,0.1,45,8999,886,0.09845538393154794,440,0.3142857142857143
Understandability,0.1,46,8999,998,0.11090121124569396,494,0.35285714285714287
Understandability,0.2,42,8999,1760,0.19557728636515168,816,0.5828571428571429
Understandability,0.2,43,8999,1797,0.19968885431714634,835,0.5964285714285714
Understandability,0.2,44,8999,1802,0.20024447160795644,831,0.5935714285714285
Understandability,0.2,45,8999,1821,0.20235581731303479,846,0.6042857142857143
Understandability,0.2,46,8999,1828,0.20313368152016892,846,0.6042857142857143
Understandability,0.3,42,8999,2722,0.302478053117013,1117,0.7978571428571428
Understandability,0.3,43,8999,2727,0.3030336704078231,1107,0.7907142857142857
Understandability,0.3,44,8999,2704,0.30047783087009666,1104,0.7885714285714286
Understandability,0.3,45,8999,2659,0.29547727525280587,1085,0.775
Understandability,0.3,46,8999,2707,0.3008112012445827,1098,0.7842857142857143
