Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Consistency,0.1,10,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7747155499367889,0.6722568212813621,0.772950408457141,-0.0026268922045694643,0.10027313739731773,0.9638432364096081
AraBERTv2,Consistency,0.2,20,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7656131479140329,0.6552115275633159,0.7626922832236234,0.01441840151347673,0.20025983857272922,0.9906447534766119
AraBERTv2,Consistency,0.2,20,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7701643489254109,0.6680571556605128,0.7684575345384911,0.0015727734162798157,0.20023937884259307,0.9878634639696586
AraBERTv2,Consistency,0.2,20,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7676359039190898,0.6653602245761348,0.7661126056817564,0.004269704500657889,0.19963581680357637,0.9911504424778761
AraBERTv2,Consistency,0.2,20,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7663716814159292,0.6635103328561524,0.7638628129293755,0.006119596220640289,0.20020868924738883,0.990897597977244
AraBERTv2,Consistency,0.2,20,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7699115044247787,0.6617034548159715,0.7683479512674974,0.00792647426082116,0.20019845938232075,0.9888748419721871
AraBERTv2,Consistency,0.3,30,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7522123893805309,0.646563874946992,0.750939050066322,0.023066054129800673,0.3001953904228003,0.9939317319848293
AraBERTv2,Consistency,0.3,30,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7552465233881163,0.6550053810675585,0.754164141412947,0.014624548009234184,0.2999703333913026,0.9949431099873578
AraBERTv2,Consistency,0.3,30,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7577749683944375,0.657092557807352,0.7565835770377239,0.012537371269440656,0.2997043568995325,0.9951959544879899
AraBERTv2,Consistency,0.3,30,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7562579013906447,0.6587270474539001,0.7557565321613444,0.010902881622892546,0.3000521723118472,0.9936788874841972
