Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Weighted_F1_Mean,Weighted_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Understandability,20,77.9519595448799,66.96299290767926,77.68087162901232,77.19342604298356,0.19338885639415848,66.16443115140636,0.3952683543916915,76.8870116407751,0.2336026424189574,0.7985617562728929,0.3952683543916918,17.06978130028008,0.05226797492384445,95.66118836915297,5
AraBERTv2,Understandability,30,77.9519595448799,66.96299290767926,77.68087162901232,76.62199747155499,0.40320572718433617,64.87998253207346,0.8106699611331252,76.24118360744514,0.4086443086885041,2.083010375605807,0.8106699611331241,25.991776413801322,0.05085612672654007,98.48293299620734,5
AraBERTv2,Validity,10,77.9519595448799,66.96299290767926,77.68087162901232,77.50695322376738,0.18021268956971725,66.3010532573056,0.6322560363902516,76.93532572257055,0.22554398510129825,0.6619396503736685,0.6322560363902521,10.005839938025147,0.01568958439546056,95.70670037926675,5
AraBERTv2,Validity,20,77.9519595448799,66.96299290767926,77.68087162901232,76.95069532237675,0.2442273707417062,65.61202445704106,0.27585787933682104,76.2264687258962,0.2398771802402242,1.3509684506381991,0.2758578793368219,19.99761635182647,0.031891039056693285,99.43362831858407,5
AraBERTv2,Validity,30,77.9519595448799,66.96299290767926,77.68087162901232,75.71681415929203,0.23145977226489586,63.88093190586505,0.4107881840448026,74.80309328728669,0.25713033943396085,3.082061001814218,0.4107881840448029,29.989631130445147,0.024255889503395873,99.88874841972188,5
CAMeLBERT-Mix,Completeness,10,75.77749683944374,64.86347976153796,75.77637460165833,75.57522123893806,0.30393970367057405,64.48705769309164,0.49477141063692,75.39801225994913,0.32360135288978287,0.37642206844631376,0.4947714106369162,10.001549371312795,0.009285525859380053,95.69658659924146,5
CAMeLBERT-Mix,Completeness,20,75.77749683944374,64.86347976153796,75.77637460165833,74.79140328697851,0.42043714660722825,63.145976386258795,0.3806107457222083,74.4554338732897,0.4078809743041341,1.7175033752791657,0.3806107457222074,19.992610690662058,0.027610734247582324,99.41845764854614,5
CAMeLBERT-Mix,Completeness,30,75.77749683944374,64.86347976153796,75.77637460165833,73.71934260429836,0.42670084672018266,61.53316721775788,0.5936644449175975,73.15588091160905,0.434400211052249,3.3303125437800785,0.5936644449175936,29.9858172933675,0.03458960149943466,99.86346396965867,5
CAMeLBERT-Mix,Consistency,10,75.77749683944374,64.86347976153796,75.77637460165833,75.34766118836916,0.33591226942064156,64.47700413349656,0.572777024748553,75.40367965007468,0.2606106189962726,0.3864756280413917,0.572777024748554,10.001943674362934,0.01888234690479382,96.07585335018965,5
CAMeLBERT-Mix,Consistency,20,75.77749683944374,64.86347976153796,75.77637460165833,74.51327433628319,0.2832535588167876,63.89135026540795,0.3238802179925707,74.61748728875295,0.2329065806305392,0.9721294961299942,0.32388021799257083,20.010843656972167,0.026532649455828634,98.98862199747155,5
