Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Validity,20,44,0.719,0.36594944798961,0.7266666666666667,0.3827054971487356,-0.016756049159125597,0.19916528206345438,0.9536666666666667
AraBERTv2,Validity,20,45,0.719,0.36594944798961,0.73,0.3889693387997412,-0.023019890810131227,0.1998378036237044,0.9556666666666667
AraBERTv2,Validity,20,46,0.719,0.36594944798961,0.7263333333333334,0.38628537286045816,-0.020335924870848177,0.19938286256824117,0.9516666666666667
AraBERTv2,Validity,30,42,0.719,0.36594944798961,0.7333333333333333,0.39144341656817766,-0.02549396857856767,0.3001621963762956,0.9773333333333334
AraBERTv2,Validity,30,43,0.719,0.36594944798961,0.7316666666666667,0.3834377186687458,-0.01748827067913583,0.29958857504549413,0.9773333333333334
AraBERTv2,Validity,30,44,0.719,0.36594944798961,0.7346666666666667,0.39129416465102934,-0.025344716661419353,0.3001226362845162,0.9793333333333333
AraBERTv2,Validity,30,45,0.719,0.36594944798961,0.7343333333333333,0.3903668709429297,-0.024417422953319723,0.30061713743175883,0.98
AraBERTv2,Validity,30,46,0.719,0.36594944798961,0.7306666666666667,0.3857260774024148,-0.019776629412804836,0.30004351610095736,0.977
AraBERTv2,Understandability,10,42,0.719,0.36594944798961,0.7173333333333334,0.3741363711268247,-0.008186923137214697,0.10064087348682649,0.717
AraBERTv2,Understandability,10,43,0.719,0.36594944798961,0.7146666666666667,0.3668140414914214,-0.0008645935018113948,0.09874198908141467,0.7016666666666667
AraBERTv2,Understandability,10,44,0.719,0.36594944798961,0.716,0.37097496904096505,-0.005025521051355064,0.10083867394572356,0.7143333333333334
AraBERTv2,Understandability,10,45,0.719,0.36594944798961,0.7153333333333334,0.3654881258420173,0.00046132214759270207,0.09941451064166469,0.7086666666666667
AraBERTv2,Understandability,10,46,0.719,0.36594944798961,0.718,0.36987354387262983,-0.00392409588301984,0.10008703220191471,0.713
AraBERTv2,Understandability,20,42,0.719,0.36594944798961,0.7186666666666667,0.38012072497281874,-0.014171276983208747,0.1998180235778147,0.8766666666666667
AraBERTv2,Understandability,20,43,0.719,0.36594944798961,0.7176666666666667,0.3789945880376576,-0.013045140048047632,0.19930374238468232,0.8686666666666667
AraBERTv2,Understandability,20,44,0.719,0.36594944798961,0.7143333333333334,0.3775857857624626,-0.011636337772852612,0.20064878550518236,0.879
AraBERTv2,Understandability,20,45,0.719,0.36594944798961,0.716,0.3736757164464141,-0.007726268456804131,0.19960044307302793,0.8743333333333333
AraBERTv2,Understandability,20,46,0.719,0.36594944798961,0.719,0.3734452461091258,-0.007495798119515784,0.20049054513806472,0.874
AraBERTv2,Understandability,30,42,0.719,0.36594944798961,0.7086666666666667,0.37187023083168214,-0.0059207828420721476,0.29943033467837643,0.9206666666666666
AraBERTv2,Understandability,30,43,0.719,0.36594944798961,0.7143333333333334,0.372819707552187,-0.00687025956257703,0.2997863755043912,0.9273333333333333
AraBERTv2,Understandability,30,44,0.719,0.36594944798961,0.7146666666666667,0.3734956645095734,-0.0075462165199634,0.299390774586597,0.9256666666666666
AraBERTv2,Understandability,30,45,0.719,0.36594944798961,0.7116666666666667,0.37656668108155256,-0.010617233091942568,0.29915341403592055,0.927
AraBERTv2,Understandability,30,46,0.719,0.36594944798961,0.708,0.3637983125901874,0.002151135399422577,0.2997665954585015,0.929
CAMeLBERT-Mix,Textual Accuracy,10,42,0.728,0.3523508000686687,0.723,0.34742307103005365,0.004927729038615047,0.0996660088052224,0.8226666666666667
