Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Sarcastic_F1_Mean,Sarcastic_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Understandability,20,78.73333333333333,71.38842382205213,56.89189189189189,78.82666666666667,0.390441345715901,71.27134119321997,0.5806622034796779,56.53865743557237,0.9178261826978837,0.11708262883218357,0.5806622034796755,19.99723079357544,87.45333333333333,5
AraBERTv2,Understandability,30,78.73333333333333,71.38842382205213,56.89189189189189,78.79333333333334,0.23967570682996406,71.0336222147519,0.4354512432442328,56.041533851059775,0.7459974109150853,0.3548016073002369,0.43545124324423323,29.950549885275734,92.59333333333333,5
AraBERTv2,Validity,10,78.73333333333333,71.38842382205213,56.89189189189189,78.73333333333333,0.3651483716701103,69.72009485441842,0.4331539685659258,53.199954012659234,0.6220718486456193,1.6683289676337187,0.43315396856592375,10.03164807342353,87.7,5
AraBERTv2,Validity,20,78.73333333333333,71.38842382205213,56.89189189189189,78.53333333333333,0.11055415967851162,68.81917361626292,0.26326975353468063,51.415535868829956,0.49927061004798357,2.5692502057892153,0.2632697535346829,19.966373921987497,95.5,5
AraBERTv2,Validity,30,78.73333333333333,71.38842382205213,56.89189189189189,78.44666666666666,0.19804601036684405,68.09087202930496,0.3710159164047314,49.91283409257855,0.634346956451564,3.2975517927471754,0.3710159164047318,30.010681224780445,97.82,5
Twitter-RoBERTa-Irony,Completeness,10,73.53333333333333,64.32756104749376,46.205962059620596,73.64666666666666,0.41806432253635517,63.778322578843984,0.5333745457998539,44.8728068935223,0.8533280847275719,0.549238468649782,0.5333745457998534,9.998813197246617,87.41333333333333,5
Twitter-RoBERTa-Irony,Completeness,20,73.53333333333333,64.32756104749376,46.205962059620596,73.59333333333333,0.3103761159195934,62.21661102415245,0.3537467094406535,41.48393794615061,0.5106994234248845,2.1109500233413203,0.3537467094406533,20.0,95.40666666666667,5
Twitter-RoBERTa-Irony,Completeness,30,73.53333333333333,64.32756104749376,46.205962059620596,74.42666666666666,0.2126551721031545,61.138206332922785,0.6549243331720028,38.414295570835534,1.2431950915394225,3.189354714570976,0.6549243331720009,29.99960439908221,97.61333333333333,5
Twitter-RoBERTa-Irony,Consistency,10,73.53333333333333,64.32756104749376,46.205962059620596,73.70666666666666,0.1935056703160016,63.42847552030595,0.24290325129832724,44.04071445488348,0.37395319241710523,0.8990855271878151,0.24290325129832677,10.003513826908888,88.84666666666668,5
Twitter-RoBERTa-Irony,Consistency,20,73.53333333333333,64.32756104749376,46.205962059620596,73.95333333333333,0.3819540402834996,62.56531645703167,0.6252462370048664,41.91818236225626,1.0199514370244813,1.762244590462092,0.6252462370048655,19.994026494254893,95.41333333333334,5
Twitter-RoBERTa-Irony,Consistency,30,73.53333333333333,64.32756104749376,46.205962059620596,74.25333333333333,0.1659986613065165,61.63668584883608,0.23844949944387697,39.63647243406335,0.41131612309639914,2.6908751986576807,0.2384494994438759,30.012649776871992,97.34666666666666,5
Twitter-RoBERTa-Irony,Textual Accuracy,10,73.53333333333333,64.32756104749376,46.205962059620596,73.42666666666666,0.16397831834998622,64.31965694871629,0.23407915758167455,46.29374621285998,0.40090856568507577,0.007904098777475888,0.23407915758167702,9.985324629320377,82.35333333333334,5
Twitter-RoBERTa-Irony,Textual Accuracy,20,73.53333333333333,64.32756104749376,46.205962059620596,73.4,0.20412414523192993,64.2452269599912,0.29770965318817605,46.15314059639831,0.47766239108842257,0.08233408750256244,0.2977096531881743,19.998987905470372,92.34,5
Twitter-RoBERTa-Irony,Textual Accuracy,30,73.53333333333333,64.32756104749376,46.205962059620596,73.4,0.26977356760397997,64.30280516730946,0.3843257910167007,46.2824857447955,0.6325054222573676,0.02475588018430841,0.3843257910167029,30.011639087090735,95.74666666666667,5
Twitter-RoBERTa-Irony,Understandability,10,73.53333333333333,64.32756104749376,46.205962059620596,73.56666666666666,0.2211083193570299,64.39485453327752,0.32893616155830885,46.32384859962338,0.5260854455953543,-0.0672934857837637,0.328936161558308,9.994461587150882,71.09333333333335,5
Twitter-RoBERTa-Irony,Understandability,20,73.53333333333333,64.32756104749376,46.205962059620596,73.33999999999999,0.20466775244011828,64.34610059926882,0.4255101981829729,46.439456129135834,0.7755002012540573,-0.018539551775065277,0.42551019818297303,19.99723079357544,87.45333333333333,5
Twitter-RoBERTa-Irony,Understandability,30,73.53333333333333,64.32756104749376,46.205962059620596,73.21333333333332,0.31587620641285463,64.13620654861188,0.45727864034333576,46.09383356156285,0.7450845979111202,0.19135449888188827,0.4572786403433406,29.950549885275734,92.59333333333333,5
Twitter-RoBERTa-Irony,Validity,10,73.53333333333333,64.32756104749376,46.205962059620596,73.33999999999999,0.07958224257542318,48.68694185606793,0.31921772384571384,13.119822351376412,0.6068113827205361,15.640619191425825,0.31921772384571395,10.03164807342353,87.7,5
Twitter-RoBERTa-Irony,Validity,20,73.53333333333333,64.32756104749376,46.205962059620596,73.44,0.16227548592850718,47.70964254048322,0.4648416397273678,11.029309086910873,0.845641991918155,16.61791850701054,0.46484163972736897,19.966373921987497,95.5,5
Twitter-RoBERTa-Irony,Validity,30,73.53333333333333,64.32756104749376,46.205962059620596,73.40666666666667,0.10381607668264994,47.4213374885993,0.3444123550925323,10.45824032394913,0.6437761937214139,16.906223558894467,0.3444123550925339,30.010681224780445,97.82,5
