Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Sarcastic_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Consistency,0.2,20,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.779,0.6989461298230866,0.5437026841018582,0.014938108397434813,0.2001300115956288,0.9586666666666667
AraBERTv2,Consistency,0.2,20,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7763333333333333,0.6955984258219636,0.5388316151202749,0.018285812398557755,0.20005973505745106,0.9516666666666667
AraBERTv2,Consistency,0.2,20,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.779,0.69950829041368,0.544955387783116,0.014375947806841372,0.19998945851927333,0.953
AraBERTv2,Consistency,0.2,20,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.785,0.7076664363752996,0.5573095401509952,0.006217801845221804,0.19923398573386275,0.9503333333333334
AraBERTv2,Consistency,0.3,30,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.788,0.7071923862654199,0.5533707865168539,0.006691851955101469,0.29995783407709337,0.9753333333333334
AraBERTv2,Consistency,0.3,30,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7816666666666666,0.7008913437954893,0.5454545454545454,0.012992894425032042,0.30001054148072664,0.972
AraBERTv2,Consistency,0.3,30,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7846666666666666,0.7037320588206518,0.5488826815642458,0.010152179399869565,0.3007484451315928,0.9743333333333334
AraBERTv2,Consistency,0.3,30,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7846666666666666,0.7059758809193215,0.5538674033149171,0.007908357301199875,0.29995783407709337,0.972
AraBERTv2,Consistency,0.3,30,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7763333333333333,0.6906293901464615,0.5277973258268824,0.023254848074059864,0.29995783407709337,0.9736666666666667
AraBERTv2,Validity,0.1,10,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7916666666666666,0.7027168823039489,0.5401030169242089,0.011167355916572475,0.10077933380805444,0.8813333333333333
AraBERTv2,Validity,0.1,10,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7826666666666666,0.692579665245031,0.5261627906976745,0.021304572975490377,0.10032439275259118,0.8776666666666667
AraBERTv2,Validity,0.1,10,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7903333333333333,0.7008142703506942,0.5371596762325239,0.01306996786982717,0.09998813197246617,0.8783333333333333
AraBERTv2,Validity,0.1,10,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7863333333333333,0.6947885986479595,0.5276344878408253,0.019095639572561884,0.09992879183479705,0.875
AraBERTv2,Validity,0.1,10,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7856666666666666,0.6951053261732874,0.528937728937729,0.01877891204723403,0.10056175330326766,0.8726666666666667
AraBERTv2,Validity,0.2,20,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.785,0.6862591732710327,0.510250569476082,0.027625064949488687,0.1998180235778147,0.9583333333333334
AraBERTv2,Validity,0.2,20,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7866666666666666,0.6891996891996892,0.5151515151515151,0.02468454902083217,0.2001147242661603,0.9556666666666667
