Model,Dimension,Severity,Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Completeness,30,46,0.615648583615881,0.6133428783671931,0.5248277370666083,0.519495885798848,0.09384699256834517,0.29988614823680765,0.9900470305151482
CAMeLBERT-Mix,Consistency,10,42,0.615648583615881,0.6133428783671931,0.5733211199825002,0.5700287836305763,0.04331409473661685,0.1000659452734326,0.7978234715082577
CAMeLBERT-Mix,Consistency,10,43,0.615648583615881,0.6133428783671931,0.5769851252324183,0.5739521557834839,0.03939072258370924,0.10006416537401472,0.7980832330744833
CAMeLBERT-Mix,Consistency,10,44,0.615648583615881,0.6133428783671931,0.5756179590943892,0.5725298348249863,0.04081304354220683,0.10009798346295451,0.7985070545772722
CAMeLBERT-Mix,Consistency,10,45,0.615648583615881,0.6133428783671931,0.5758913923219949,0.5728633326609276,0.04047954570626555,0.10014604074723737,0.798589084545554
CAMeLBERT-Mix,Consistency,10,46,0.615648583615881,0.6133428783671931,0.5755359291261074,0.5724285771905817,0.040914301176611434,0.09988528548251738,0.7981789347041452
CAMeLBERT-Mix,Consistency,20,42,0.615648583615881,0.6133428783671931,0.5377337854096029,0.5342107682832143,0.0791321100839788,0.19994589105769633,0.9462293557913157
CAMeLBERT-Mix,Consistency,20,43,0.615648583615881,0.6133428783671931,0.5372826205840534,0.533585675774933,0.07975720259226016,0.19987380513127204,0.9459422509023296
CAMeLBERT-Mix,Consistency,20,44,0.615648583615881,0.6133428783671931,0.537501367166138,0.5342372013748448,0.07910567699234838,0.19991741266701019,0.9456414743519632
CAMeLBERT-Mix,Consistency,20,45,0.615648583615881,0.6133428783671931,0.5376244121185606,0.5340822529587255,0.07926062540846768,0.1999343217114801,0.9459422509023296
CAMeLBERT-Mix,Consistency,20,46,0.615648583615881,0.6133428783671931,0.5376107404571804,0.5345925178064874,0.07875036056070572,0.19998237899576296,0.947227387072077
