Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Changed_Instance_Rate_Mean,N_Runs
CAMeLBERT-Mix,Textual Accuracy,20,74.2128935532234,57.30662268364119,72.24387806096951,0.8078349086360913,54.79509662036068,1.0959984150563555,2.5115260632805025,1.0959984150563575,19.988746537396125,95.88205897051473,5
CAMeLBERT-Mix,Textual Accuracy,30,74.2128935532234,57.30662268364119,70.50474762618691,0.7356688494436878,53.04280679214342,1.0456088768167988,4.2638158914977575,1.0456088768167981,30.013850415512465,97.80109945027486,5
CAMeLBERT-Mix,Understandability,10,74.2128935532234,57.30662268364119,73.6631684157921,0.3903173251327644,56.194121604906364,0.7491270604838413,1.11250107873482,0.7491270604838383,9.816771622727433,67.856071964018,5
CAMeLBERT-Mix,Understandability,20,74.2128935532234,57.30662268364119,73.09345327336332,0.33635819431212033,55.73152303224408,0.9055464751872513,1.575099651397103,0.9055464751872528,16.796527555413242,89.82508745627186,5
CAMeLBERT-Mix,Understandability,30,74.2128935532234,57.30662268364119,73.32333833083459,0.4290290061236329,55.82286868430797,0.5588224738600925,1.4837539993332216,0.5588224738600921,24.93969473796563,95.65217391304348,5
CAMeLBERT-Mix,Validity,10,74.2128935532234,57.30662268364119,73.71314342828586,0.5096471277953795,51.29234997242044,1.045518352934388,6.01427271122074,1.0455183529343892,9.969758423168605,90.01499250374813,5
CAMeLBERT-Mix,Validity,20,74.2128935532234,57.30662268364119,72.90354822588705,0.21610942839020653,46.80225385970323,0.5951313396031804,10.504368823937963,0.5951313396031808,20.036289892197672,97.89105447276363,5
CAMeLBERT-Mix,Validity,30,74.2128935532234,57.30662268364119,71.85407296351823,0.16347253606992818,42.09907580583561,0.5112359697840807,15.207546877805575,0.5112359697840806,29.94200732913509,98.99050474762619,5
XLM-R,Completeness,10,71.56421789105447,44.84514710097732,70.85457271364317,0.2354666464645663,43.32735692909059,0.5658212339046955,1.517790171886736,0.5658212339046964,10.010317714448359,90.07496251874063,5
XLM-R,Completeness,20,71.56421789105447,44.84514710097732,70.40479760119939,0.16724838111625479,42.291726358176454,0.9866918317608115,2.5534207428008715,0.98669183176081,19.972248905966485,97.67116441779112,5
XLM-R,Completeness,30,71.56421789105447,44.84514710097732,69.74512743628185,0.28402343305113187,40.67598677704664,0.8368789458199728,4.169160323930686,0.8368789458199741,30.002490482797878,98.98050974512745,5
XLM-R,Consistency,10,71.56421789105447,44.84514710097732,71.1544227886057,0.42464059542724625,44.200561959753124,1.1185741328381877,0.6445851412241976,1.1185741328381869,10.020040080160323,92.03398300849574,5
XLM-R,Consistency,20,71.56421789105447,44.84514710097732,70.4247876061969,0.13867503173924361,42.77077391092881,0.14239431587730764,2.074373190048513,0.14239431587730683,20.04243781681009,98.06096951524236,5
XLM-R,Consistency,30,71.56421789105447,44.84514710097732,70.17491254372814,0.21320068973215153,41.781968371290304,0.8823791393493796,3.063178729687015,0.8823791393493787,29.98231757632913,98.99050474762619,5
XLM-R,Textual Accuracy,10,71.56421789105447,44.84514710097732,70.94452773613193,0.6396020691964464,44.20600853838173,0.9778787884849064,0.6391385625955914,0.9778787884849064,9.977493074792243,84.8575712143928,5
XLM-R,Textual Accuracy,20,71.56421789105447,44.84514710097732,70.03498250874563,0.4929573331597277,43.10524354386686,0.9013866902852832,1.7399035571104626,0.901386690285284,19.988746537396125,95.88205897051473,5
XLM-R,Textual Accuracy,30,71.56421789105447,44.84514710097732,69.85507246376812,0.4319298438047385,42.74142131835593,1.0129023735983937,2.1037257826213898,1.012902373598394,30.013850415512465,97.80109945027486,5
XLM-R,Understandability,10,71.56421789105447,44.84514710097732,71.1144427786107,0.3655357031066407,45.2891970144389,0.7368593894024439,-0.4440499134615727,0.7368593894024462,9.816771622727433,67.856071964018,5
XLM-R,Understandability,20,71.56421789105447,44.84514710097732,71.22438780609694,0.32077574284619764,46.00224857976099,1.166331579551806,-1.1571014787836653,1.166331579551806,16.796527555413242,89.82508745627186,5
XLM-R,Understandability,30,71.56421789105447,44.84514710097732,70.57471264367817,0.5234271253483694,45.881319245450506,0.7577958677556423,-1.036172144473183,0.757795867755644,24.93969473796563,95.65217391304348,5
XLM-R,Validity,10,71.56421789105447,44.84514710097732,70.86456771614193,0.2914018937953681,40.66584950857602,0.6314258436639806,4.179297592401308,0.63142584366398,9.969758423168605,90.01499250374813,5
XLM-R,Validity,20,71.56421789105447,44.84514710097732,70.50474762618691,0.4680073870441971,38.04062969922871,1.2760416650098878,6.804517401748608,1.2760416650098874,20.036289892197672,97.89105447276363,5
XLM-R,Validity,30,71.56421789105447,44.84514710097732,69.72513743128437,0.2246097456696121,35.196159391478,0.8314865003703976,9.648987709499321,0.831486500370398,29.94200732913509,98.99050474762619,5
