Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Validity,20,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7421289355322339,0.527156327464997,0.715699407725183,0.058293633541064316,0.20023481694951437,0.9800099950024987
AraBERTv2,Validity,30,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7346326836581709,0.49832717197608417,0.7003298226995417,0.08712278902997711,0.29974739388764365,0.9900049975012494
AraBERTv2,Validity,30,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.743128435782109,0.5177438969680476,0.7095791686466403,0.06770606403801371,0.2999608638417476,0.9890054972513743
AraBERTv2,Validity,30,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7371314342828585,0.5049986008482914,0.7044633178686454,0.08045136015776988,0.2998897071903796,0.9905047476261869
AraBERTv2,Validity,30,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7411294352823589,0.5112052402215232,0.7080002398148466,0.07424472078453803,0.2995695022592237,0.9905047476261869
AraBERTv2,Validity,30,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7391304347826086,0.5124521465201566,0.7060911711518191,0.0729978144859047,0.29793289927776,0.9895052473763118
AraBERTv2,Understandability,10,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7341329335332334,0.572197475065407,0.7286164223414392,0.013252485940654313,0.0978759739566656,0.6746626686656672
AraBERTv2,Understandability,10,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.735632183908046,0.5678786362859716,0.7292068696386907,0.01757132472008971,0.09673746753477781,0.6696651674162919
AraBERTv2,Understandability,10,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7381309345327336,0.5744239134624509,0.7312294702634128,0.011026047543610362,0.09862311879602946,0.6816591704147926
AraBERTv2,Understandability,10,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7321339330334833,0.5615825474203562,0.7256094605876321,0.0238674135857051,0.09883658875013342,0.6836581709145427
AraBERTv2,Understandability,10,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7346326836581709,0.5671320377991471,0.7273083918231923,0.018317923206914166,0.09876543209876543,0.6831584207896052
AraBERTv2,Understandability,20,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7351324337831084,0.5651795465250573,0.728205670882017,0.020270414481003973,0.16771622727434446,0.9050474762618691
AraBERTv2,Understandability,20,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.736631684157921,0.5656437272074751,0.7298574718227028,0.019806233798586148,0.16728928736613655,0.8975512243878061
AraBERTv2,Understandability,20,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7266366816591704,0.5553485950745736,0.7208763201371341,0.03010136593148771,0.16739602234318854,0.896551724137931
AraBERTv2,Understandability,20,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7396301849075462,0.5782374345612425,0.7337831137893047,0.007212526444818734,0.1691749386273882,0.8990504747626187
AraBERTv2,Understandability,20,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7316341829085458,0.5630168687423656,0.7241137081208422,0.02243309226369572,0.16824990215960436,0.8930534732633684
AraBERTv2,Understandability,30,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7221389305347327,0.5370200990642102,0.7125434046973245,0.04842986194185106,0.24961753299889708,0.9610194902548725
AraBERTv2,Understandability,30,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7151424287856072,0.5352481718533564,0.7074753585163904,0.0502017891527049,0.2493684847191091,0.9585207396301849
AraBERTv2,Understandability,30,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7336331834082959,0.5534411819962962,0.7244894400630634,0.032008779009765065,0.24869249653111325,0.9535232383808095
AraBERTv2,Understandability,30,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7306346826586707,0.5612447003007088,0.7224698438569872,0.02420526070535245,0.24858576155406126,0.953023488255872
AraBERTv2,Understandability,30,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7271364317841079,0.5511670274984981,0.7192472073860208,0.034282933507563174,0.2507204610951009,0.9565217391304348
CAMeLBERT-Mix,Textual Accuracy,10,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.735632183908046,0.5660077601151923,0.7282441073511968,0.0070584667212195695,0.1009349030470914,0.8530734632683659
CAMeLBERT-Mix,Textual Accuracy,10,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7331334332833583,0.5694305345282576,0.7251741100618192,0.0036356923081541925,0.09890062326869806,0.8445777111444278
CAMeLBERT-Mix,Textual Accuracy,10,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7256371814092953,0.5457091095942942,0.715839403741888,0.027357117242117646,0.09911703601108034,0.8455772113943029
CAMeLBERT-Mix,Textual Accuracy,10,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.729135432283858,0.5584573650283996,0.7215164897552502,0.014608861808012241,0.09998268698060941,0.847576211894053
