Dimension,Severity,Seed,Eligible_Units,Changed_Units,Realized_Rate,Changed_Instances,Changed_Instance_Rate
Consistency,0.3,42,33932,10187,0.3002180832252741,1982,0.9905047476261869
Consistency,0.3,43,33932,10142,0.29889190144995875,1983,0.9910044977511244
Consistency,0.3,44,33932,10142,0.29889190144995875,1980,0.9895052473763118
Consistency,0.3,45,33932,10190,0.3003064953436284,1981,0.9900049975012494
Consistency,0.3,46,33932,10207,0.30080749734763645,1978,0.9885057471264368
Validity,0.1,42,28107,2837,0.10093570996548902,1810,0.9045477261369316
Validity,0.1,43,28107,2778,0.09883658875013342,1798,0.8985507246376812
Validity,0.1,44,28107,2799,0.09958373358949728,1802,0.9005497251374313
Validity,0.1,45,28107,2795,0.09944142028676131,1807,0.9030484757621189
Validity,0.1,46,28107,2802,0.09969046856654926,1789,0.8940529735132434
Validity,0.2,42,28107,5628,0.20023481694951437,1952,0.975512243878061
Validity,0.2,43,28107,5646,0.20087522681182624,1969,0.984007996001999
Validity,0.2,44,28107,5612,0.19966556373857047,1957,0.9780109945027486
Validity,0.2,45,28107,5644,0.20080407016045826,1955,0.9770114942528736
Validity,0.2,46,28107,5628,0.20023481694951437,1961,0.9800099950024987
Validity,0.3,42,28107,8425,0.29974739388764365,1981,0.9900049975012494
Validity,0.3,43,28107,8431,0.2999608638417476,1979,0.9890054972513743
Validity,0.3,44,28107,8429,0.2998897071903796,1982,0.9905047476261869
Validity,0.3,45,28107,8420,0.2995695022592237,1982,0.9905047476261869
Validity,0.3,46,28107,8374,0.29793289927776,1980,0.9895052473763118
Understandability,0.1,42,28107,2751,0.0978759739566656,1350,0.6746626686656672
Understandability,0.1,43,28107,2719,0.09673746753477781,1340,0.6696651674162919
Understandability,0.1,44,28107,2772,0.09862311879602946,1364,0.6816591704147926
Understandability,0.1,45,28107,2778,0.09883658875013342,1368,0.6836581709145427
Understandability,0.1,46,28107,2776,0.09876543209876543,1367,0.6831584207896052
Understandability,0.2,42,28107,4714,0.16771622727434446,1811,0.9050474762618691
Understandability,0.2,43,28107,4702,0.16728928736613655,1796,0.8975512243878061
Understandability,0.2,44,28107,4705,0.16739602234318854,1794,0.896551724137931
Understandability,0.2,45,28107,4755,0.1691749386273882,1799,0.8990504747626187
Understandability,0.2,46,28107,4729,0.16824990215960436,1787,0.8930534732633684
Understandability,0.3,42,28107,7016,0.24961753299889708,1923,0.9610194902548725
